Algorithm,DataType,InputSize,ExecutionTime(ns),MemoryUsage(bytes),Comparisons,Swaps,Timestamp
Bubble Sort,Random,100,195200,48,4697,2251,1756226127858
Bubble Sort,Random,200,795050,48,19872,9893,1756226146096
Bubble Sort,Random,400,2968200,48,79785,38377,1756226166390
Bubble Sort,Random,600,8970500,0,179349,93793,1756226193581
Bubble Sort,Random,800,15949050,20824,317947,156590,1756226222777
Bubble Sort,Random,1000,29007200,41600,497609,242262,1756226269448
Bubble Sort,Sorted,100,11300,0,99,0,1756226287201
Bubble Sort,Sorted,200,13800,24,199,0,1756226304549
Bubble Sort,Sorted,400,18850,24,399,0,1756226321919
Bubble Sort,Sorted,600,23700,24,599,0,1756226339288
Bubble Sort,Sorted,800,28750,24,799,0,1756226356698
Bubble Sort,Sorted,1000,34550,24,999,0,1756226374184
Bubble Sort,ReverseSorted,100,245400,48,4950,4950,1756226389780
Bubble Sort,ReverseSorted,200,705100,48,19900,19900,1756226405264
Bubble Sort,ReverseSorted,400,3444700,48,79800,79800,1756226423327
Bubble Sort,ReverseSorted,600,11227300,0,179700,179700,1756226445626
Bubble Sort,ReverseSorted,800,23180800,41600,319600,319600,1756226474357
Bubble Sort,ReverseSorted,1000,33538650,41600,499500,499500,1756226511730
Bubble Sort,NearlySorted,100,144800,48,4130,446,1756226527595
Bubble Sort,NearlySorted,200,530100,48,17947,2162,1756226543796
Bubble Sort,NearlySorted,400,2374000,48,78315,10251,1756226561462
Bubble Sort,NearlySorted,600,7195950,48,177684,22212,1756226581522
Bubble Sort,NearlySorted,800,12913000,48,319555,36040,1756226604882
Bubble Sort,NearlySorted,1000,18313200,48,498275,62824,1756226633038
Bubble Sort,WithDuplicates,100,215200,48,4872,2349,1756226648931
Bubble Sort,WithDuplicates,200,741500,48,19747,8509,1756226665363
Bubble Sort,WithDuplicates,400,3164650,48,79365,41169,1756226683952
Bubble Sort,WithDuplicates,600,8957700,48,178425,91290,1756226705808
Bubble Sort,WithDuplicates,800,16305450,48,319300,159550,1756226732299
Bubble Sort,WithDuplicates,1000,26236650,48,498554,243495,1756226764792
Selection Sort,Random,100,151200,24,4950,97,1756226780603
Selection Sort,Random,200,549850,48,19900,194,1756226796881
Selection Sort,Random,400,2208400,48,79800,394,1756226814643
Selection Sort,Random,600,6841250,48,179700,594,1756226834537
Selection Sort,Random,800,11968450,48,319600,797,1756226857459
Selection Sort,Random,1000,15510350,48,499500,995,1756226883742
Selection Sort,Sorted,100,146650,24,4950,0,1756226899259
Selection Sort,Sorted,200,584600,24,19900,0,1756226917277
Selection Sort,Sorted,400,2182100,24,79800,0,1756226937060
Selection Sort,Sorted,600,6997500,24,179700,0,1756226960905
Selection Sort,Sorted,800,13146250,24,319600,0,1756226990900
Selection Sort,Sorted,1000,19119150,24,499500,0,1756227028163
Selection Sort,ReverseSorted,100,182050,24,4950,50,1756227045717
Selection Sort,ReverseSorted,200,589950,24,19900,100,1756227063745
Selection Sort,ReverseSorted,400,2176400,48,79800,200,1756227083471
Selection Sort,ReverseSorted,600,7212150,48,179700,300,1756227107664
Selection Sort,ReverseSorted,800,12987150,48,319600,400,1756227137931
Selection Sort,ReverseSorted,1000,17146900,48,499500,500,1756227173859
Selection Sort,NearlySorted,100,159300,24,4950,10,1756227189768
Selection Sort,NearlySorted,200,526000,24,19900,20,1756227206133
Selection Sort,NearlySorted,400,2185100,24,79800,40,1756227223490
Selection Sort,NearlySorted,600,7022150,24,179700,60,1756227243326
Selection Sort,NearlySorted,800,12077450,24,319600,80,1756227266644
Selection Sort,NearlySorted,1000,17115300,24,499500,100,1756227294069
Selection Sort,WithDuplicates,100,162300,24,4950,88,1756227310060
Selection Sort,WithDuplicates,200,550950,48,19900,183,1756227326444
Selection Sort,WithDuplicates,400,2222900,48,79800,380,1756227344191
Selection Sort,WithDuplicates,600,6942350,48,179700,587,1756227363598
Selection Sort,WithDuplicates,800,12437450,48,319600,791,1756227387021
Selection Sort,WithDuplicates,1000,17392850,48,499500,986,1756227414464
Insertion Sort,Random,100,154850,48,2454,2357,1756227430579
Insertion Sort,Random,200,554300,48,10355,10159,1756227446996
Insertion Sort,Random,400,2240400,48,41867,41474,1756227464833
Insertion Sort,Random,600,6787100,48,88097,87502,1756227484723
Insertion Sort,Random,800,12107200,48,158565,157771,1756227508016
Insertion Sort,Random,1000,16854700,48,239848,238855,1756227536391
Insertion Sort,Sorted,100,11400,0,99,0,1756227552240
Insertion Sort,Sorted,200,33550,24,199,0,1756227568190
Insertion Sort,Sorted,400,39300,24,399,0,1756227584143
Insertion Sort,Sorted,600,44850,24,599,0,1756227600107
Insertion Sort,Sorted,800,50150,24,799,0,1756227616060
Insertion Sort,Sorted,1000,56150,24,999,0,1756227631988
Insertion Sort,ReverseSorted,100,267200,48,4950,4950,1756227648030
Insertion Sort,ReverseSorted,200,1049700,48,19900,19900,1756227664827
Insertion Sort,ReverseSorted,400,4258700,48,79800,79800,1756227684356
Insertion Sort,ReverseSorted,600,13414650,48,179700,179700,1756227708718
Insertion Sort,ReverseSorted,800,24074500,48,319600,319600,1756227739643
Insertion Sort,ReverseSorted,1000,35312050,48,499500,499500,1756227778859
Insertion Sort,NearlySorted,100,57650,48,677,578,1756227794778
Insertion Sort,NearlySorted,200,162600,48,2655,2456,1756227810742
Insertion Sort,NearlySorted,400,523850,48,10022,9623,1756227826978
Insertion Sort,NearlySorted,600,1060400,48,19637,19038,1756227843666
Insertion Sort,NearlySorted,800,1819550,48,35297,34498,1756227861181
Insertion Sort,NearlySorted,1000,3296250,48,63213,62216,1756227879636
Insertion Sort,WithDuplicates,100,142300,48,2267,2172,1756227895538
Insertion Sort,WithDuplicates,200,501900,48,9260,9065,1756227911782
Insertion Sort,WithDuplicates,400,2133250,48,40563,40166,1756227929309
Insertion Sort,WithDuplicates,600,7057150,48,92374,91783,1756227949580
Insertion Sort,WithDuplicates,800,11952650,48,157255,156463,1756227972650
Insertion Sort,WithDuplicates,1000,16591450,48,245048,244056,1756227999831
Quick Sort,Random,100,75950,48,947,162,1756228015901
Quick Sort,Random,200,118950,48,2309,380,1756228031857
Quick Sort,Random,400,225100,48,5884,823,1756228047924
Quick Sort,Random,600,347050,48,9292,1316,1756228063955
Quick Sort,Random,800,423900,48,12169,1848,1756228079889
Quick Sort,Random,1000,462050,48,14832,2358,1756228095595
Quick Sort,Sorted,100,164050,24,5148,0,1756228111287
Quick Sort,Sorted,200,534400,24,20298,0,1756228127020
Quick Sort,Sorted,400,2073400,24,80598,0,1756228144238
Quick Sort,Sorted,600,6176400,24,180898,0,1756228163228
Quick Sort,Sorted,800,11993000,24,321198,0,1756228185608
Quick Sort,Sorted,1000,16980000,24,501498,0,1756228210959
Quick Sort,ReverseSorted,100,171550,24,5198,50,1756228226639
Quick Sort,ReverseSorted,200,536700,24,20398,100,1756228242572
Quick Sort,ReverseSorted,400,2293550,48,80798,200,1756228261350
Quick Sort,ReverseSorted,600,6740100,48,181198,300,1756228285217
Quick Sort,ReverseSorted,800,12961350,48,321598,400,1756228315698
Quick Sort,ReverseSorted,1000,18848300,48,501998,500,1756228352775
Quick Sort,NearlySorted,100,83600,24,1259,18,1756228370288
Quick Sort,NearlySorted,200,140400,24,2930,56,1756228387893
Quick Sort,NearlySorted,400,331000,24,10087,92,1756228405560
Quick Sort,NearlySorted,600,580650,48,17679,162,1756228423594
Quick Sort,NearlySorted,800,755050,48,24519,233,1756228441681
Quick Sort,NearlySorted,1000,806750,48,27052,308,1756228459543
Quick Sort,WithDuplicates,100,86650,48,986,231,1756228476882
Quick Sort,WithDuplicates,200,122000,48,2121,498,1756228494511
Quick Sort,WithDuplicates,400,257250,48,5134,1112,1756228512242
Quick Sort,WithDuplicates,600,350000,48,7845,1739,1756228529945
Quick Sort,WithDuplicates,800,451200,48,10871,2421,1756228547856
Quick Sort,WithDuplicates,1000,495850,48,13913,3113,1756228564396
Merge Sort,Random,100,70050,24,542,0,1756228579859
Merge Sort,Random,200,102300,24,1294,0,1756228595112
Merge Sort,Random,400,213150,24,2959,0,1756228612637
Merge Sort,Random,600,294950,24,4775,0,1756228630195
Merge Sort,Random,800,373400,24,6749,0,1756228648045
Merge Sort,Random,1000,467650,24,8731,0,1756228665846
Merge Sort,Sorted,100,63200,24,356,0,1756228683377
Merge Sort,Sorted,200,78800,24,812,0,1756228700909
Merge Sort,Sorted,400,126300,24,1824,0,1756228718464
Merge Sort,Sorted,600,172350,24,2916,0,1756228735962
Merge Sort,Sorted,800,224700,24,4048,0,1756228753528
Merge Sort,Sorted,1000,281000,24,5044,0,1756228771269
Merge Sort,ReverseSorted,100,57750,24,316,0,1756228788724
Merge Sort,ReverseSorted,200,81050,24,732,0,1756228806022
Merge Sort,ReverseSorted,400,124450,24,1664,0,1756228822488
Merge Sort,ReverseSorted,600,190900,24,2660,0,1756228840125
Merge Sort,ReverseSorted,800,280350,24,3728,0,1756228857929
Merge Sort,ReverseSorted,1000,330850,24,4932,0,1756228875680
Merge Sort,NearlySorted,100,72800,24,473,0,1756228893297
Merge Sort,NearlySorted,200,113400,24,1201,0,1756228911098
Merge Sort,NearlySorted,400,200000,24,2683,0,1756228928747
Merge Sort,NearlySorted,600,292150,24,4456,0,1756228946978
Merge Sort,NearlySorted,800,334950,24,6406,0,1756228964906
Merge Sort,NearlySorted,1000,429350,24,8041,0,1756228983092
Merge Sort,WithDuplicates,100,85050,24,533,0,1756229001259
Merge Sort,WithDuplicates,200,128150,24,1285,0,1756229019331
Merge Sort,WithDuplicates,400,196900,24,2941,0,1756229036972
Merge Sort,WithDuplicates,600,271600,24,4778,0,1756229053988
Merge Sort,WithDuplicates,800,355200,24,6691,0,1756229069683
Merge Sort,WithDuplicates,1000,405500,24,8706,0,1756229085216
Heap Sort,Random,100,75100,48,1025,577,1756229100201
Heap Sort,Random,200,135200,48,2455,1358,1756229115386
Heap Sort,Random,400,258600,48,5694,3110,1756229130472
Heap Sort,Random,600,395250,48,9213,5004,1756229145664
Heap Sort,Random,800,553700,48,12987,7011,1756229161807
Heap Sort,Random,1000,818500,48,16912,9118,1756229180079
Heap Sort,Sorted,100,82050,48,1081,640,1756229197245
Heap Sort,Sorted,200,129700,48,2587,1488,1756229212050
Heap Sort,Sorted,400,267800,48,5984,3372,1756229226960
Heap Sort,Sorted,600,401750,48,9693,5404,1756229241931
Heap Sort,Sorted,800,545250,48,13639,7554,1756229257059
Heap Sort,Sorted,1000,713050,48,17583,9708,1756229272576
Heap Sort,ReverseSorted,100,68800,48,944,516,1756229287427
Heap Sort,ReverseSorted,200,112650,48,2275,1206,1756229302235
Heap Sort,ReverseSorted,400,231200,48,5352,2822,1756229317147
Heap Sort,ReverseSorted,600,361350,48,8718,4572,1756229332227
Heap Sort,ReverseSorted,800,492500,48,12293,6442,1756229347381
Heap Sort,ReverseSorted,1000,611800,48,15965,8316,1756229362562
Heap Sort,NearlySorted,100,73650,48,1073,624,1756229377384
Heap Sort,NearlySorted,200,135200,48,2556,1462,1756229392192
Heap Sort,NearlySorted,400,258500,48,5916,3310,1756229407128
Heap Sort,NearlySorted,600,391100,48,9597,5326,1756229422160
Heap Sort,NearlySorted,800,562450,48,13502,7462,1756229437730
Heap Sort,NearlySorted,1000,703550,48,17405,9602,1756229454151
Heap Sort,WithDuplicates,100,73100,48,1029,567,1756229469697
Heap Sort,WithDuplicates,200,130000,48,2405,1296,1756229485330
Heap Sort,WithDuplicates,400,262700,48,5666,3069,1756229501084
Heap Sort,WithDuplicates,600,401950,48,9237,4974,1756229516969
Heap Sort,WithDuplicates,800,542100,48,13004,6975,1756229533105
Heap Sort,WithDuplicates,1000,717050,48,16790,8979,1756229549519
